Symbol,Date,Entry Price,Vol Ratio,Target,Max Price,Max Gain %,Final Return %,Days Observed
MNKD,2025-06-25,3.85,1.71,12.0,4.05,5.19,1.3,15
NVCR,2025-06-27,18.0,2.34,30.0,18.7,3.89,-10.56,15
FUN,2025-06-27,30.89,1.59,43.0,32.53,5.31,0.23,15
MNKD,2025-06-27,3.76,3.72,12.0,4.05,7.71,1.6,15
IMNM,2025-06-30,9.3,5.99,23.0,11.13,19.68,19.03,15
FUN,2025-07-01,31.87,1.64,43.0,33.5,5.11,3.36,15
MNKD,2025-07-01,3.58,1.84,12.0,4.13,15.36,14.53,15
ARDX,2025-07-02,4.19,1.81,14.0,4.72,12.65,4.06,15
BITF,2025-07-02,1.01,3.15,3.25,1.35,33.66,21.78,15
FUN,2025-07-02,31.92,1.74,43.0,33.5,4.95,-0.63,15
BITF,2025-07-03,1.02,1.57,3.25,1.35,32.35,20.59,15
BITF,2025-07-07,1.03,1.54,3.25,1.35,31.07,24.27,15
FUN,2025-07-08,31.46,1.7,43.0,33.5,6.48,-3.27,15
ARDX,2025-07-09,4.6,1.51,14.0,4.72,2.61,-5.65,15
FUN,2025-07-09,31.88,2.63,43.0,33.5,5.08,-4.71,15
IMNM,2025-07-09,8.89,1.59,23.0,11.68,31.38,20.92,15
SEZL,2025-07-11,134.73,1.58,168.0,160.48,19.11,6.88,15
HROW,2025-07-11,34.93,2.26,76.0,38.09,9.05,-10.59,15
ARDX,2025-07-14,4.61,1.83,14.0,4.69,1.74,-4.77,15
BITF,2025-07-14,1.08,1.52,3.25,1.35,25.0,11.11,15
HROW,2025-07-14,35.62,1.64,76.0,38.09,6.93,-6.18,15
IMNM,2025-07-16,9.67,1.74,23.0,11.68,20.79,8.17,15
QURE,2025-07-17,15.2,1.9,30.0,16.29,7.17,-11.51,15
QURE,2025-07-18,14.99,1.55,30.0,16.29,8.67,-11.41,15
BITF,2025-07-21,1.13,2.6,3.25,1.35,19.47,8.85,15
BITF,2025-07-22,1.32,3.3,3.25,1.35,2.27,-3.79,15
BITF,2025-07-23,1.27,2.06,3.25,1.33,4.72,0.0,15
QURE,2025-07-23,15.38,1.64,30.0,16.29,5.92,-5.07,15
NVCR,2025-07-25,12.04,2.83,14.5,12.38,2.82,-2.57,15
NVCR,2025-07-28,11.64,1.79,14.5,12.38,6.36,3.87,15
NVCR,2025-07-29,11.38,1.6,14.5,12.38,8.79,6.06,15
QURE,2025-07-29,13.68,3.49,35.0,16.66,21.78,12.06,15
NVCR,2025-07-30,10.97,2.08,14.5,12.38,12.85,7.38,15
QURE,2025-07-30,14.46,2.44,47.0,16.66,15.21,7.05,15
BITF,2025-07-31,1.26,1.55,3.25,1.43,13.49,-2.38,15
NVCR,2025-07-31,11.57,2.55,14.5,12.26,5.96,2.94,15
ARDX,2025-08-04,4.39,1.5,14.0,6.29,43.28,38.04,15
FUN,2025-08-04,30.61,1.65,43.0,31.25,2.09,-16.76,15
FUN,2025-08-05,30.7,1.59,43.0,27.37,-10.85,-21.82,15
NVCR,2025-08-05,11.43,2.46,14.5,12.47,9.1,3.5,15
ARDX,2025-08-05,5.13,3.83,12.0,6.29,22.61,20.86,15
FUN,2025-08-06,24.32,10.01,43.0,27.37,12.54,-2.43,15
MNKD,2025-08-06,3.47,3.22,12.0,4.62,33.14,30.26,15
SEZL,2025-08-07,139.33,2.18,168.0,106.0,-23.92,-31.24,15
FUN,2025-08-07,25.16,2.46,43.0,27.37,8.78,-7.91,15
SEZL,2025-08-08,91.51,5.16,168.0,98.2,7.31,3.38,15
HROW,2025-08-11,33.74,2.45,76.0,40.61,20.36,11.8,15
SEZL,2025-08-11,87.31,1.71,168.0,98.2,12.47,3.63,15
FUN,2025-08-11,24.4,1.64,43.0,27.37,12.17,-5.04,15
HROW,2025-08-12,34.83,5.2,76.0,40.61,16.59,7.21,15
MNKD,2025-08-12,3.66,1.52,12.0,6.2,69.4,50.55,15
IMTX,2025-08-13,6.1,10.11,16.0,6.47,6.07,-6.23,15
HROW,2025-08-13,36.5,2.35,64.0,40.61,11.26,-0.82,15
HROW,2025-08-14,40.01,2.09,64.0,40.61,1.5,-7.55,15
IMTX,2025-08-14,5.9,1.69,16.0,6.47,9.66,6.1,15
HROW,2025-08-15,38.82,1.53,64.0,41.25,6.26,2.45,15
IMTX,2025-08-18,6.21,2.57,16.0,6.27,0.97,-6.76,15
BITF,2025-08-18,1.38,2.15,3.25,1.62,17.39,15.22,15
IMTX,2025-08-25,5.23,1.67,16.0,6.27,19.89,14.72,15
MNKD,2025-08-25,3.9,1.78,9.0,6.2,58.97,37.69,15
IMTX,2025-08-26,5.35,1.88,16.0,6.27,17.2,12.71,15
IMNM,2025-08-26,10.16,1.58,18.0,10.65,4.82,-11.52,15
MNKD,2025-08-27,4.52,2.8,8.0,6.2,37.17,24.12,15
MNKD,2025-08-28,4.49,1.85,8.0,6.2,38.08,20.94,15
IMTX,2025-08-29,5.09,4.7,16.0,6.91,35.76,34.58,15
MNKD,2025-09-02,5.74,8.0,11.0,6.0,4.53,-6.79,15
IMTX,2025-09-02,5.34,2.59,16.0,7.15,33.9,33.33,15
IMNM,2025-09-03,10.25,1.64,18.0,12.3,20.0,9.27,15
MNKD,2025-09-03,5.51,2.09,11.0,5.83,5.81,-3.27,15
IMTX,2025-09-05,6.26,4.71,16.0,7.71,23.16,23.0,15
IMNM,2025-09-05,10.52,2.04,26.0,12.3,16.92,10.17,15
QURE,2025-09-05,17.95,1.97,47.0,55.11,207.02,202.56,15
IMNM,2025-09-08,9.4,1.8,26.0,12.3,30.85,20.64,15
BITF,2025-09-09,1.59,4.44,3.25,3.6,126.42,77.36,15
IMNM,2025-09-09,9.21,2.3,26.0,12.3,33.55,27.14,15
FUN,2025-09-10,21.66,1.73,40.0,24.34,12.37,4.76,15
BITF,2025-09-10,1.75,3.29,3.25,3.6,105.71,60.0,15
BITF,2025-09-11,2.04,3.84,3.25,3.6,76.47,43.63,15
IMNM,2025-09-12,9.21,6.88,26.0,12.55,36.26,34.42,15
BITF,2025-09-12,2.23,4.13,3.25,3.6,61.43,34.98,15
HROW,2025-09-15,42.82,2.16,64.0,50.72,18.45,-1.54,15
QURE,2025-09-15,14.84,3.26,47.0,60.7,309.03,256.54,15
BITF,2025-09-15,2.48,4.56,3.25,3.6,45.16,39.52,15
QURE,2025-09-16,14.47,2.01,47.0,60.7,319.49,300.28,15
IMNM,2025-09-18,9.85,1.84,26.0,14.78,50.05,45.08,15
QURE,2025-09-19,13.87,2.22,47.0,65.12,369.5,343.84,15
IMNM,2025-09-19,9.39,2.43,26.0,14.78,57.4,48.24,15
FUN,2025-09-19,22.32,1.85,40.0,24.13,8.11,-10.13,15
IMTX,2025-09-19,6.7,1.64,16.0,10.95,63.43,54.63,15
QURE,2025-09-22,13.83,1.81,47.0,65.12,370.86,348.45,15
BITF,2025-09-23,2.59,2.23,3.25,6.2,139.38,127.41,15
IMNM,2025-09-24,11.2,3.51,26.0,16.4,46.43,45.98,15
QURE,2025-09-25,52.65,4.97,95.0,65.14,23.72,13.94,15
ARDX,2025-09-26,5.54,1.69,12.0,5.68,2.53,-9.21,15
QURE,2025-09-26,54.31,2.81,95.0,65.14,19.94,6.79,15
IMNM,2025-09-26,11.59,4.82,26.0,17.08,47.37,35.2,15
HROW,2025-09-26,47.1,2.21,64.0,50.39,6.99,-15.05,15
QURE,2025-09-29,59.4,1.87,95.0,65.14,9.66,7.61,15
HROW,2025-09-29,48.4,2.05,70.0,48.89,1.01,-12.95,15
IMTX,2025-09-30,8.52,1.69,16.0,11.25,32.04,23.59,15
IMTX,2025-10-01,9.0,1.72,16.0,11.25,25.0,12.56,15
IMTX,2025-10-02,8.73,2.43,16.0,11.25,28.87,16.61,15
IMTX,2025-10-03,9.4,1.58,16.0,11.25,19.68,8.3,15
HROW,2025-10-03,45.43,1.97,70.0,45.41,-0.04,-15.21,15
HROW,2025-10-06,42.16,2.78,70.0,42.9,1.76,-9.3,15
IMNM,2025-10-06,14.41,1.77,26.0,17.32,20.19,15.2,15
ARDX,2025-10-07,5.17,1.53,12.0,5.34,3.29,-1.16,15
HROW,2025-10-08,39.74,2.1,70.0,42.35,6.57,-7.45,15
IMTX,2025-10-08,10.37,2.4,16.0,11.25,8.49,-0.29,15
HROW,2025-10-09,40.57,2.58,70.0,42.35,4.39,-7.42,15
IMTX,2025-10-09,10.9,2.26,16.0,11.25,3.21,-4.4,15
MNKD,2025-10-09,5.14,1.69,11.0,5.72,11.28,7.98,15
MNKD,2025-10-10,4.88,1.67,11.0,5.72,17.21,14.55,15
BITF,2025-10-13,5.39,1.7,7.0,6.6,22.45,-23.75,15
BCRX,2025-10-14,6.42,12.01,15.0,7.47,16.36,5.3,15
SEZL,2025-10-14,80.01,1.58,168.0,80.68,0.84,-23.16,15
BCRX,2025-10-15,6.81,3.74,15.0,7.47,9.69,5.29,15
BCRX,2025-10-16,6.72,2.27,15.0,7.47,11.16,4.61,15
BITF,2025-10-16,5.28,1.97,7.0,5.41,2.46,-30.11,15
BITF,2025-10-17,5.01,1.58,7.0,5.41,7.98,-26.95,15
BCRX,2025-10-17,6.63,1.54,15.0,7.47,12.67,6.94,15
MNR,2025-10-27,12.46,2.57,21.0,12.64,1.44,-5.06,15
MNKD,2025-10-29,5.54,1.84,11.0,6.24,12.64,-9.75,15
MNR,2025-10-30,12.05,1.63,21.0,12.26,1.74,-0.41,15
ARDX,2025-10-30,5.01,1.86,12.0,6.73,34.33,10.78,15
ARDX,2025-10-31,6.06,5.58,12.0,6.39,5.45,-10.56,15
SEZL,2025-10-31,65.55,1.74,168.0,70.0,6.79,-16.95,15
SVV,2025-10-31,9.21,4.95,16.0,9.36,1.63,-9.34,15
ARDX,2025-11-03,5.92,2.0,12.0,6.25,5.57,-7.09,15
QURE,2025-11-03,34.29,5.37,53.0,32.49,-5.25,-18.99,15
SVV,2025-11-03,8.58,1.7,16.0,9.02,5.13,-3.85,15
BCRX,2025-11-03,6.86,1.71,15.0,7.33,6.85,-0.44,15
IMNM,2025-11-03,17.0,1.96,26.0,19.16,12.71,9.71,15
SVV,2025-11-04,8.41,1.62,16.0,9.02,7.25,4.16,15
MNR,2025-11-04,11.77,2.12,21.0,12.26,4.16,-4.08,15
SEZL,2025-11-05,66.25,2.37,168.0,70.0,5.66,-11.18,15
MNKD,2025-11-05,6.06,2.49,11.0,6.13,1.16,-11.22,15
RAMP,2025-11-05,27.42,1.5,53.0,31.39,14.48,5.4,15
SEZL,2025-11-06,57.99,3.6,110.0,63.38,9.29,6.48,15
RAMP,2025-11-06,29.25,1.88,53.0,31.39,7.32,-1.37,15
AMSC,2025-11-06,36.55,5.09,68.0,40.9,11.9,-14.94,15
ENVX,2025-11-06,9.03,3.7,25.0,9.89,9.52,-13.73,15
FUN,2025-11-06,18.39,1.59,28.0,19.79,7.61,-17.46,15
MNR,2025-11-07,11.61,2.29,21.0,12.26,5.6,2.15,15
AMSC,2025-11-07,38.86,2.52,68.0,40.9,5.25,-22.93,15
HROW,2025-11-07,33.93,1.5,70.0,42.44,25.08,17.24,15
RAMP,2025-11-07,29.9,1.78,53.0,31.39,4.98,-4.11,15
SEZL,2025-11-07,59.24,1.51,110.0,63.38,6.99,2.31,15
MNR,2025-11-10,11.51,1.93,20.0,12.26,6.52,4.95,15
AMSC,2025-11-10,36.91,1.63,68.0,36.4,-1.38,-16.58,15
HROW,2025-11-10,34.14,2.05,70.0,42.44,24.31,17.66,15
FUN,2025-11-10,16.35,1.64,20.0,16.84,3.0,-8.07,15
MNKD,2025-11-10,5.42,1.81,11.0,5.68,4.8,3.14,15
