Symbol,Company,Current Price,Target Price,Target High,Target Low,Upside %,Upside to High %,Market Cap ($M)
KZIA,Kazia Therapeutics Limited,6.56,20.0,,,204.88,,3.8
OCUL,"Ocular Therapeutix, Inc.",11.41,28.0,,,145.4,,1985.2
BAK,Braskem S.A.,2.47,3.8,,,53.85,,984.3
NOMD,Nomad Foods Limited,13.09,18.0,,,37.51,,1966.6
PRGS,Progress Software Corporation,46.17,62.5,,,35.37,,1990.9
IRDM,Iridium Communications Inc.,18.76,25.0,,,33.26,,1990.7
ANIP,"ANI Pharmaceuticals, Inc.",89.64,117.5,,,31.08,,1944.2
TWST,Twist Bioscience Corporation,31.07,40.0,,,28.74,,1875.4
MCRI,"Monarch Casino & Resort, Inc.",103.7,125.0,,,20.54,,1894.3
SKWD,"Skyward Specialty Insurance Group, Inc.",46.27,55.0,,,18.87,,1873.3
AMRC,"Ameresco, Inc.",37.33,39.0,,,4.47,,1967.3
DK,"Delek US Holdings, Inc.",32.21,33.5,,,4.0,,1937.5
KSS,Kohl's Corporation,16.91,9.0,,,-46.78,,1894.6
