Symbol,Company,Current Price,Target Price,Target High,Target Low,Upside %,Upside to High %,Market Cap ($M)
NVCR,NovoCure Limited,12.21,42.0,,,243.98,,1367.3
ENVX,Enovix Corporation,7.5,21.67,,,188.74,,1438.0
BCRX,"BioCryst Pharmaceuticals, Inc.",6.78,17.0,,,150.87,,1426.7
SBET,SharpLink Gaming Ltd.,9.83,24.0,,,144.09,,1465.6
PHAR,Pharming Group N.V.,17.21,42.0,,,144.01,,1179.3
HROW,"Harrow Health, Inc.",39.02,94.0,,,140.9,,1445.2
SEZL,Sezzle Inc.,53.1,110.0,,,107.16,,1813.5
BITF,Bitfarms Ltd.,2.71,5.5,,,103.24,,1408.6
AMSC,American Superconductor Corporation,31.26,61.5,,,96.75,,1412.5
FUN,Six Flags Entertainment Corporation,14.26,27.5,,,92.85,,1447.0
SVV,"Savers Value Village, Inc.",8.34,16.0,,,91.85,,1302.6
QURE,uniQure N.V.,27.1,51.5,,,90.05,,1466.7
RAMP,"LiveRamp Holdings, Inc.",28.65,53.0,,,84.99,,1877.3
ARDX,"Ardelyx, Inc.",5.42,10.0,,,84.67,,1296.7
PGRE,"Paramount Group, Inc.",6.58,12.0,,,82.37,,1460.2
IMTX,Immatics N.V.,10.69,19.0,,,77.82,,1298.8
IMNM,"Immunome, Inc.",18.75,33.0,,,76.0,,1719.5
MNKD,MannKind Corporation,5.12,9.0,,,75.78,,1571.9
TRVI,"Trevi Therapeutics, Inc.",11.24,19.67,,,75.03,,1441.1
MNR,Mach Natural Resources LP,11.5,20.0,,,73.91,,1324.0
PRCT,PROCEPT BioRobotics Corporation,30.04,52.0,,,73.1,,1678.6
ALVO,Alvotech,5.39,9.33,,,73.1,,1679.5
PRGO,Perrigo Company plc,12.66,21.5,,,69.76,,1742.8
ATRC,"AtriCure, Inc.",37.9,64.0,,,68.89,,1884.0
NRIX,"Nurix Therapeutics, Inc.",17.25,29.0,,,68.12,,1326.2
SNDX,"Syndax Pharmaceuticals, Inc.",19.07,31.67,,,66.07,,1650.5
FIVN,"Five9, Inc.",19.28,32.0,,,65.98,,1472.9
NWL,Newell Brands Inc.,3.41,5.63,,,65.17,,1428.9
RXO,"RXO, Inc.",11.85,19.0,,,60.34,,1944.7
CC,The Chemours Company,11.48,18.0,,,56.79,,1720.6
VAC,Marriott Vacations Worldwide Corporation,52.59,82.0,,,55.94,,1820.2
